freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.020e+02,1.214e+01,1.787e+01,3.320e+02
1.6,1.839e+02,2.833e+01,5.855e+01,2.707e+02
3.2,7.917e+01,9.693e+01,6.130e+01,2.374e+02
4.8,5.576e+02,1.753e+02,6.688e+01,7.998e+02
6.4,1.616e+03,6.991e+01,7.142e+01,1.757e+03
8.0,2.952e+03,6.440e+01,7.308e+01,3.089e+03
9.6,4.727e+03,7.319e+01,7.283e+01,4.873e+03
11.2,6.449e+03,7.377e+01,7.292e+01,6.596e+03
12.8,8.457e+03,8.224e+01,9.036e+01,8.630e+03
14.4,1.152e+04,9.397e+01,2.012e+02,1.181e+04
16.0,1.387e+04,1.044e+02,2.331e+02,1.420e+04
17.6,1.922e+04,1.183e+02,2.265e+02,1.956e+04
19.2,2.745e+04,1.114e+02,2.740e+02,2.783e+04
20.7,4.198e+04,7.637e+01,3.486e+02,4.241e+04
22.3,6.562e+04,5.664e+01,6.072e+02,6.628e+04
23.9,1.091e+05,6.450e+01,1.065e+03,1.103e+05
25.5,2.100e+05,8.009e+01,1.695e+03,2.117e+05
27.1,4.728e+05,3.091e+02,3.850e+03,4.770e+05
28.7,6.203e+05,7.008e+02,6.563e+03,6.275e+05
30.3,3.276e+05,6.495e+02,5.160e+03,3.334e+05
31.9,1.846e+05,1.041e+03,3.920e+03,1.896e+05
33.5,1.206e+05,1.423e+03,3.220e+03,1.253e+05
35.1,9.027e+04,1.871e+03,2.869e+03,9.501e+04
36.7,7.252e+04,2.079e+03,3.041e+03,7.764e+04
38.3,5.622e+04,1.876e+03,3.957e+03,6.205e+04
39.9,4.106e+04,1.637e+03,5.491e+03,4.818e+04
41.5,2.922e+04,2.127e+03,5.955e+03,3.731e+04
43.1,2.287e+04,2.661e+03,3.914e+03,2.944e+04
44.7,1.822e+04,2.342e+03,3.959e+03,2.452e+04
46.3,1.508e+04,2.184e+03,3.977e+03,2.124e+04
47.9,1.303e+04,2.078e+03,3.632e+03,1.874e+04
49.5,1.102e+04,2.075e+03,3.509e+03,1.660e+04
51.1,9.514e+03,2.331e+03,3.755e+03,1.560e+04
52.7,7.146e+03,2.457e+03,3.300e+03,1.290e+04
54.3,4.543e+03,2.368e+03,2.822e+03,9.732e+03
55.9,3.640e+03,2.642e+03,3.305e+03,9.587e+03
57.5,4.544e+03,3.430e+03,3.332e+03,1.131e+04
59.1,6.534e+03,4.570e+03,1.595e+03,1.270e+04
60.7,5.579e+03,4.575e+03,7.262e+02,1.088e+04
62.2,3.265e+03,3.962e+03,4.678e+02,7.695e+03
63.8,2.234e+03,3.777e+03,3.386e+02,6.350e+03
65.4,1.666e+03,3.769e+03,2.711e+02,5.706e+03
67.0,1.275e+03,3.835e+03,2.355e+02,5.345e+03
68.6,9.887e+02,3.891e+03,2.155e+02,5.096e+03
70.2,7.517e+02,3.883e+03,2.077e+02,4.843e+03
71.8,5.717e+02,3.694e+03,1.959e+02,4.462e+03
73.4,4.197e+02,3.174e+03,2.018e+02,3.796e+03
75.0,3.024e+02,2.761e+03,2.180e+02,3.282e+03
76.6,2.476e+02,2.998e+03,2.408e+02,3.487e+03
78.2,2.062e+02,3.317e+03,2.460e+02,3.769e+03
79.8,1.705e+02,3.358e+03,2.307e+02,3.760e+03
81.4,1.300e+02,3.402e+03,2.392e+02,3.771e+03
83.0,1.201e+02,3.690e+03,2.332e+02,4.043e+03
84.6,1.263e+02,4.049e+03,2.551e+02,4.430e+03
86.2,1.545e+02,4.531e+03,3.008e+02,4.986e+03
87.8,2.037e+02,5.520e+03,2.686e+02,5.992e+03
89.4,3.202e+02,6.337e+03,2.477e+02,6.905e+03
91.0,6.515e+02,6.567e+03,4.172e+02,7.635e+03
92.6,1.587e+03,6.329e+03,1.011e+03,8.927e+03
94.2,2.814e+03,4.661e+03,1.984e+03,9.459e+03
95.8,2.823e+03,3.318e+03,2.244e+03,8.385e+03
97.4,1.849e+03,4.301e+03,1.908e+03,8.058e+03
99.0,1.071e+03,6.567e+03,1.572e+03,9.210e+03
100.6,6.371e+02,9.342e+03,1.485e+03,1.146e+04
102.1,4.050e+02,1.268e+04,1.547e+03,1.463e+04
103.7,2.728e+02,1.724e+04,1.639e+03,1.915e+04
105.3,2.186e+02,2.208e+04,1.875e+03,2.417e+04
106.9,2.891e+02,2.508e+04,1.997e+03,2.737e+04
108.5,4.319e+02,2.230e+04,1.780e+03,2.451e+04
110.1,4.437e+02,1.451e+04,1.207e+03,1.616e+04
111.7,3.616e+02,8.182e+03,7.640e+02,9.308e+03
113.3,2.922e+02,5.164e+03,6.092e+02,6.065e+03
114.9,2.582e+02,4.265e+03,6.041e+02,5.127e+03
116.5,2.428e+02,3.965e+03,6.365e+02,4.845e+03
118.1,2.778e+02,4.110e+03,6.193e+02,5.007e+03
119.7,3.179e+02,5.140e+03,6.451e+02,6.103e+03
121.3,3.785e+02,6.916e+03,7.045e+02,7.999e+03
122.9,4.886e+02,9.637e+03,7.255e+02,1.085e+04
124.5,6.062e+02,1.330e+04,8.090e+02,1.471e+04
126.1,7.227e+02,1.549e+04,8.876e+02,1.710e+04
127.7,8.510e+02,1.583e+04,9.177e+02,1.760e+04
129.3,9.510e+02,1.514e+04,9.597e+02,1.705e+04
130.9,1.024e+03,1.348e+04,1.046e+03,1.555e+04
132.5,9.113e+02,8.983e+03,1.090e+03,1.098e+04
134.1,6.792e+02,2.971e+03,9.665e+02,4.617e+03
135.7,6.407e+02,1.787e+03,9.178e+02,3.346e+03
137.3,6.856e+02,1.456e+03,1.022e+03,3.163e+03
138.9,7.571e+02,1.167e+03,1.253e+03,3.177e+03
140.5,8.550e+02,8.801e+02,1.442e+03,3.177e+03
142.0,8.675e+02,6.641e+02,1.401e+03,2.933e+03
143.6,8.725e+02,6.618e+02,1.289e+03,2.823e+03
145.2,7.679e+02,6.345e+02,1.063e+03,2.466e+03
146.8,6.315e+02,5.070e+02,8.377e+02,1.976e+03
148.4,6.857e+02,5.049e+02,8.528e+02,2.043e+03
150.0,9.411e+02,5.354e+02,1.061e+03,2.538e+03
151.6,1.189e+03,5.243e+02,1.215e+03,2.929e+03
153.2,1.483e+03,4.855e+02,1.377e+03,3.345e+03
154.8,2.169e+03,5.013e+02,1.983e+03,4.653e+03
156.4,3.059e+03,6.245e+02,2.987e+03,6.671e+03
158.0,4.319e+03,9.188e+02,4.697e+03,9.935e+03
159.6,5.733e+03,1.497e+03,6.919e+03,1.415e+04
161.2,7.197e+03,2.196e+03,9.354e+03,1.875e+04
162.8,7.489e+03,2.603e+03,1.031e+04,2.040e+04
164.4,7.109e+03,2.845e+03,1.035e+04,2.031e+04
166.0,6.360e+03,2.730e+03,9.772e+03,1.886e+04
167.6,5.685e+03,2.394e+03,8.700e+03,1.678e+04
169.2,5.240e+03,2.065e+03,8.063e+03,1.537e+04
170.8,4.749e+03,1.626e+03,7.327e+03,1.370e+04
172.4,4.673e+03,1.342e+03,7.156e+03,1.317e+04
174.0,4.318e+03,1.146e+03,6.660e+03,1.212e+04
175.6,3.237e+03,9.130e+02,5.080e+03,9.230e+03
177.2,2.525e+03,7.948e+02,4.146e+03,7.466e+03
178.8,2.097e+03,7.256e+02,3.656e+03,6.479e+03
180.4,1.667e+03,6.563e+02,3.154e+03,5.477e+03
182.0,1.400e+03,6.474e+02,2.786e+03,4.833e+03
183.5,1.170e+03,5.832e+02,2.418e+03,4.172e+03
185.1,1.016e+03,5.589e+02,2.172e+03,3.747e+03
186.7,8.726e+02,5.028e+02,1.979e+03,3.354e+03
188.3,7.896e+02,4.504e+02,1.926e+03,3.166e+03
189.9,6.723e+02,3.710e+02,1.698e+03,2.741e+03
191.5,5.492e+02,2.862e+02,1.337e+03,2.172e+03
193.1,4.556e+02,2.418e+02,1.037e+03,1.734e+03
194.7,4.320e+02,2.282e+02,9.317e+02,1.592e+03
196.3,4.128e+02,2.149e+02,8.665e+02,1.494e+03
197.9,4.431e+02,2.194e+02,8.568e+02,1.519e+03
199.5,4.548e+02,2.330e+02,8.785e+02,1.566e+03
