freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.151e+00,1.856e+02,1.268e+01,2.044e+02
1.6,2.239e+01,1.212e+02,5.667e+01,2.003e+02
3.2,5.893e+01,1.164e+02,6.139e+01,2.367e+02
4.8,1.045e+02,5.668e+02,6.127e+01,7.327e+02
6.4,5.810e+01,1.415e+03,8.172e+01,1.555e+03
8.0,5.397e+01,2.401e+03,9.311e+01,2.549e+03
9.6,7.998e+01,3.962e+03,1.128e+02,4.155e+03
11.2,7.982e+01,6.243e+03,1.205e+02,6.444e+03
12.8,8.145e+01,7.652e+03,1.838e+02,7.917e+03
14.4,1.456e+02,1.050e+04,2.297e+02,1.087e+04
16.0,2.721e+02,1.605e+04,2.053e+02,1.653e+04
17.6,3.492e+02,2.169e+04,2.224e+02,2.226e+04
19.2,3.820e+02,2.689e+04,2.699e+02,2.754e+04
20.8,2.818e+02,3.069e+04,3.219e+02,3.130e+04
22.4,2.592e+02,4.543e+04,4.316e+02,4.612e+04
23.9,5.591e+02,8.902e+04,6.060e+02,9.019e+04
25.5,7.818e+02,1.365e+05,1.077e+03,1.383e+05
27.1,7.562e+02,1.504e+05,1.579e+03,1.527e+05
28.7,2.112e+03,1.437e+05,2.121e+03,1.479e+05
30.3,3.196e+03,1.504e+05,2.594e+03,1.562e+05
31.9,2.340e+03,1.405e+05,1.571e+03,1.444e+05
33.5,1.880e+03,1.140e+05,6.251e+02,1.165e+05
35.1,1.543e+03,9.137e+04,2.486e+02,9.316e+04
36.7,1.319e+03,7.957e+04,2.497e+02,8.114e+04
38.3,9.814e+02,6.342e+04,7.879e+02,6.519e+04
39.9,5.684e+02,4.788e+04,1.836e+03,5.028e+04
41.5,3.965e+02,3.922e+04,2.692e+03,4.231e+04
43.1,4.615e+02,3.863e+04,2.839e+03,4.193e+04
44.7,5.993e+02,3.948e+04,2.411e+03,4.249e+04
46.3,5.840e+02,3.567e+04,1.337e+03,3.759e+04
47.9,4.632e+02,2.911e+04,7.343e+02,3.031e+04
49.5,3.646e+02,2.419e+04,1.420e+03,2.598e+04
51.1,3.307e+02,2.102e+04,2.341e+03,2.369e+04
52.7,2.817e+02,1.615e+04,2.601e+03,1.904e+04
54.3,1.748e+02,1.182e+04,3.612e+03,1.561e+04
55.9,9.595e+01,1.121e+04,3.493e+03,1.480e+04
57.5,5.965e+01,1.162e+04,2.467e+03,1.414e+04
59.1,5.527e+01,1.157e+04,1.397e+03,1.303e+04
60.7,5.895e+01,1.093e+04,7.691e+02,1.176e+04
62.3,6.271e+01,1.005e+04,4.222e+02,1.053e+04
63.9,6.171e+01,9.181e+03,4.295e+02,9.672e+03
65.5,7.001e+01,8.274e+03,6.885e+02,9.032e+03
67.1,8.143e+01,7.512e+03,8.743e+02,8.468e+03
68.7,1.003e+02,6.897e+03,7.943e+02,7.791e+03
70.3,1.348e+02,6.245e+03,6.244e+02,7.004e+03
71.8,1.349e+02,5.529e+03,4.448e+02,6.109e+03
73.4,1.156e+02,4.625e+03,2.981e+02,5.039e+03
75.0,9.661e+01,3.946e+03,2.030e+02,4.246e+03
76.6,9.338e+01,3.593e+03,1.878e+02,3.874e+03
78.2,9.129e+01,3.410e+03,1.843e+02,3.686e+03
79.8,8.138e+01,3.244e+03,1.678e+02,3.494e+03
81.4,7.369e+01,3.142e+03,1.856e+02,3.401e+03
83.0,7.545e+01,2.995e+03,1.688e+02,3.239e+03
84.6,7.465e+01,2.823e+03,1.360e+02,3.034e+03
86.2,7.757e+01,2.710e+03,1.156e+02,2.904e+03
87.8,7.911e+01,2.611e+03,1.107e+02,2.801e+03
89.4,8.019e+01,2.502e+03,1.161e+02,2.699e+03
91.0,7.666e+01,2.363e+03,1.216e+02,2.562e+03
92.6,6.881e+01,2.257e+03,1.308e+02,2.457e+03
94.2,6.135e+01,2.127e+03,1.343e+02,2.323e+03
95.8,6.046e+01,2.057e+03,1.244e+02,2.242e+03
97.4,5.928e+01,1.973e+03,1.098e+02,2.142e+03
99.0,6.257e+01,1.881e+03,1.010e+02,2.045e+03
100.6,7.466e+01,1.835e+03,1.112e+02,2.021e+03
102.2,7.911e+01,1.804e+03,1.409e+02,2.024e+03
103.8,7.664e+01,1.632e+03,1.689e+02,1.877e+03
105.4,7.022e+01,1.487e+03,2.211e+02,1.778e+03
