freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.422e+00,1.863e+02,2.024e+01,2.129e+02
1.6,2.512e+01,1.287e+02,7.637e+01,2.302e+02
3.2,7.277e+01,1.078e+02,9.307e+01,2.737e+02
4.8,1.401e+02,5.876e+02,9.235e+01,8.200e+02
6.4,5.583e+01,1.505e+03,1.090e+02,1.670e+03
8.0,3.469e+01,2.485e+03,1.363e+02,2.656e+03
9.6,3.671e+01,4.014e+03,1.640e+02,4.215e+03
11.2,5.102e+01,6.220e+03,1.917e+02,6.463e+03
12.8,4.965e+01,7.895e+03,2.915e+02,8.236e+03
14.4,5.638e+01,1.220e+04,4.079e+02,1.266e+04
16.0,4.878e+01,1.958e+04,4.506e+02,2.008e+04
17.6,3.866e+01,2.419e+04,4.646e+02,2.470e+04
19.2,3.869e+01,2.688e+04,4.764e+02,2.740e+04
20.8,5.175e+01,3.291e+04,5.758e+02,3.354e+04
22.4,9.356e+01,5.151e+04,9.059e+02,5.251e+04
24.0,1.605e+02,1.038e+05,1.672e+03,1.056e+05
25.6,3.229e+02,1.795e+05,3.792e+03,1.836e+05
27.2,4.985e+02,2.057e+05,5.465e+03,2.117e+05
28.8,4.680e+02,1.692e+05,5.192e+03,1.749e+05
30.4,2.538e+02,1.437e+05,3.947e+03,1.479e+05
32.0,9.922e+01,1.163e+05,2.098e+03,1.185e+05
33.6,6.648e+01,8.913e+04,1.350e+03,9.055e+04
35.2,6.317e+01,7.352e+04,1.045e+03,7.463e+04
36.8,6.795e+01,4.989e+04,1.450e+03,5.141e+04
38.4,8.095e+01,2.820e+04,2.939e+03,3.122e+04
40.0,9.162e+01,2.122e+04,5.380e+03,2.669e+04
41.5,8.687e+01,2.382e+04,7.728e+03,3.163e+04
43.1,6.638e+01,3.115e+04,9.637e+03,4.085e+04
44.7,6.113e+01,3.689e+04,1.161e+04,4.856e+04
46.3,7.276e+01,3.706e+04,1.243e+04,4.956e+04
47.9,9.608e+01,3.389e+04,1.113e+04,4.512e+04
49.5,1.619e+02,2.913e+04,7.731e+03,3.703e+04
51.1,3.325e+02,2.162e+04,3.971e+03,2.592e+04
52.7,6.291e+02,1.379e+04,4.314e+03,1.873e+04
54.3,8.161e+02,1.175e+04,5.756e+03,1.832e+04
55.9,6.697e+02,1.260e+04,5.038e+03,1.831e+04
57.5,4.677e+02,1.271e+04,3.901e+03,1.708e+04
59.1,3.558e+02,1.229e+04,3.250e+03,1.589e+04
60.7,2.677e+02,1.149e+04,2.606e+03,1.437e+04
62.3,1.860e+02,1.049e+04,1.852e+03,1.253e+04
63.9,1.234e+02,9.924e+03,1.328e+03,1.137e+04
65.5,1.117e+02,9.866e+03,1.195e+03,1.117e+04
67.1,1.244e+02,9.185e+03,9.234e+02,1.023e+04
68.7,1.353e+02,8.321e+03,7.029e+02,9.160e+03
70.3,1.187e+02,7.424e+03,5.255e+02,8.069e+03
71.9,9.486e+01,6.346e+03,4.439e+02,6.885e+03
73.5,8.423e+01,5.313e+03,3.704e+02,5.768e+03
75.1,7.270e+01,4.546e+03,2.753e+02,4.894e+03
76.7,6.504e+01,4.189e+03,2.555e+02,4.510e+03
78.3,5.961e+01,3.948e+03,2.810e+02,4.288e+03
79.9,4.999e+01,3.756e+03,2.760e+02,4.082e+03
81.5,5.048e+01,3.647e+03,2.805e+02,3.978e+03
83.1,5.238e+01,3.497e+03,2.832e+02,3.833e+03
84.7,5.339e+01,3.386e+03,2.874e+02,3.726e+03
86.3,5.044e+01,3.254e+03,2.906e+02,3.595e+03
87.9,4.689e+01,3.106e+03,2.843e+02,3.437e+03
89.5,5.264e+01,2.946e+03,2.823e+02,3.281e+03
91.1,5.580e+01,2.788e+03,2.695e+02,3.113e+03
92.7,6.139e+01,2.676e+03,2.424e+02,2.980e+03
94.3,7.929e+01,2.609e+03,1.776e+02,2.866e+03
95.9,1.234e+02,2.498e+03,1.569e+02,2.778e+03
97.5,1.656e+02,2.423e+03,1.864e+02,2.775e+03
99.1,2.082e+02,2.373e+03,2.705e+02,2.852e+03
100.7,2.643e+02,2.311e+03,4.736e+02,3.049e+03
102.3,3.182e+02,2.241e+03,7.524e+02,3.312e+03
103.9,3.425e+02,2.224e+03,9.409e+02,3.507e+03
105.5,3.180e+02,2.176e+03,9.575e+02,3.452e+03
107.1,2.480e+02,2.054e+03,8.439e+02,3.146e+03
108.7,1.533e+02,1.830e+03,6.747e+02,2.658e+03
110.3,1.023e+02,1.542e+03,5.379e+02,2.183e+03
111.9,8.412e+01,1.360e+03,4.227e+02,1.867e+03
113.5,7.978e+01,1.258e+03,2.820e+02,1.619e+03
115.1,6.931e+01,1.134e+03,2.229e+02,1.427e+03
116.7,5.353e+01,9.910e+02,1.749e+02,1.219e+03
118.3,6.163e+01,8.852e+02,1.744e+02,1.121e+03
119.9,7.504e+01,7.596e+02,1.723e+02,1.007e+03
121.5,7.461e+01,5.636e+02,1.596e+02,7.978e+02
123.1,7.595e+01,4.834e+02,1.688e+02,7.281e+02
124.6,7.788e+01,4.963e+02,1.392e+02,7.135e+02
126.2,7.712e+01,4.895e+02,1.438e+02,7.104e+02
127.8,8.174e+01,4.916e+02,1.880e+02,7.614e+02
129.4,1.092e+02,5.072e+02,2.118e+02,8.282e+02
131.0,1.414e+02,5.101e+02,2.250e+02,8.765e+02
132.6,1.374e+02,3.689e+02,2.063e+02,7.126e+02
134.2,9.315e+01,1.088e+02,1.777e+02,3.796e+02
135.8,9.834e+01,6.143e+01,1.713e+02,3.311e+02
137.4,1.255e+02,5.233e+01,1.801e+02,3.580e+02
139.0,1.882e+02,4.469e+01,1.735e+02,4.064e+02
140.6,2.876e+02,3.884e+01,1.900e+02,5.164e+02
142.2,3.980e+02,4.099e+01,2.082e+02,6.471e+02
143.8,4.003e+02,4.989e+01,2.111e+02,6.613e+02
145.4,3.125e+02,4.874e+01,1.935e+02,5.547e+02
147.0,2.756e+02,4.349e+01,1.730e+02,4.921e+02
148.6,1.388e+02,4.003e+01,1.505e+02,3.294e+02
150.2,1.053e+02,4.115e+01,1.354e+02,2.818e+02
151.8,8.435e+01,4.263e+01,1.214e+02,2.483e+02
153.4,8.374e+01,4.305e+01,1.165e+02,2.432e+02
155.0,8.287e+01,4.413e+01,1.107e+02,2.377e+02
156.6,7.524e+01,4.623e+01,1.276e+02,2.491e+02
158.2,8.416e+01,5.372e+01,1.406e+02,2.785e+02
159.8,1.051e+02,6.151e+01,1.630e+02,3.296e+02
161.4,1.313e+02,6.617e+01,1.611e+02,3.586e+02
163.0,1.796e+02,6.290e+01,1.421e+02,3.846e+02
164.6,2.176e+02,5.870e+01,1.206e+02,3.969e+02
166.2,2.202e+02,5.643e+01,1.145e+02,3.912e+02
167.8,1.771e+02,5.387e+01,1.024e+02,3.333e+02
169.4,1.494e+02,5.401e+01,9.908e+01,3.025e+02
171.0,1.374e+02,5.480e+01,9.857e+01,2.908e+02
172.6,1.210e+02,5.662e+01,9.497e+01,2.726e+02
174.2,9.449e+01,5.474e+01,9.012e+01,2.394e+02
175.8,7.728e+01,5.265e+01,8.540e+01,2.153e+02
177.4,6.464e+01,5.120e+01,8.835e+01,2.042e+02
179.0,5.304e+01,5.003e+01,9.574e+01,1.988e+02
180.6,4.605e+01,5.120e+01,9.446e+01,1.917e+02
182.2,4.159e+01,5.138e+01,9.823e+01,1.912e+02
183.8,3.679e+01,4.640e+01,9.674e+01,1.799e+02
185.4,3.532e+01,4.204e+01,9.259e+01,1.699e+02
187.0,3.817e+01,4.671e+01,9.906e+01,1.839e+02
188.6,3.993e+01,4.454e+01,1.031e+02,1.876e+02
190.2,3.948e+01,4.661e+01,1.087e+02,1.948e+02
191.8,4.033e+01,4.609e+01,9.087e+01,1.773e+02
193.4,3.922e+01,4.261e+01,8.910e+01,1.709e+02
195.0,4.226e+01,4.441e+01,1.022e+02,1.888e+02
196.6,4.140e+01,4.633e+01,1.108e+02,1.985e+02
198.2,4.042e+01,4.788e+01,1.155e+02,2.038e+02
199.8,3.861e+01,4.193e+01,1.196e+02,2.001e+02
