freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.757e+02,1.051e+01,1.828e+01,3.045e+02
1.6,1.672e+02,2.814e+01,6.465e+01,2.600e+02
3.2,9.352e+01,1.055e+02,7.162e+01,2.706e+02
4.8,6.209e+02,1.735e+02,7.589e+01,8.704e+02
6.4,1.711e+03,6.943e+01,7.816e+01,1.858e+03
8.0,2.967e+03,6.155e+01,7.918e+01,3.108e+03
9.6,4.647e+03,7.480e+01,7.940e+01,4.801e+03
11.2,6.248e+03,8.380e+01,9.724e+01,6.429e+03
12.8,8.243e+03,8.478e+01,1.438e+02,8.472e+03
14.4,1.117e+04,9.673e+01,2.614e+02,1.152e+04
16.0,1.349e+04,1.050e+02,2.152e+02,1.381e+04
17.6,1.900e+04,1.285e+02,1.605e+02,1.929e+04
19.2,2.842e+04,1.407e+02,1.565e+02,2.872e+04
20.8,4.496e+04,9.746e+01,2.063e+02,4.526e+04
22.4,6.729e+04,6.660e+01,2.945e+02,6.765e+04
24.0,1.085e+05,1.068e+02,4.992e+02,1.091e+05
25.6,2.020e+05,3.774e+02,1.471e+03,2.038e+05
27.2,4.238e+05,1.473e+03,5.720e+03,4.310e+05
28.8,5.193e+05,2.427e+03,8.930e+03,5.307e+05
30.4,3.011e+05,1.607e+03,5.476e+03,3.082e+05
32.0,2.239e+05,1.936e+03,4.436e+03,2.303e+05
33.6,1.793e+05,2.209e+03,3.894e+03,1.854e+05
35.2,1.260e+05,2.197e+03,3.253e+03,1.315e+05
36.8,8.481e+04,2.453e+03,2.352e+03,8.961e+04
38.4,6.202e+04,2.616e+03,1.856e+03,6.649e+04
39.9,4.580e+04,2.265e+03,2.176e+03,5.024e+04
41.5,3.104e+04,1.615e+03,3.104e+03,3.576e+04
43.1,2.160e+04,1.236e+03,4.589e+03,2.743e+04
44.7,1.688e+04,1.214e+03,7.931e+03,2.603e+04
46.3,1.476e+04,2.244e+03,1.109e+04,2.809e+04
47.9,1.361e+04,3.494e+03,7.875e+03,2.498e+04
49.5,1.144e+04,3.440e+03,3.870e+03,1.875e+04
